Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"3B",5599,4858,43407.2,3129,9172,561,305,250,761,769,55,66,,,,,,0.95638314,
2016,"3B",5533,4856,43306.1,3202,9261,555,298,249,815,813,60,61,,,,,,0.95736672,
2017,"3B",5558,4860,43257,3172,9037,521,283,232,887,892,68,59,,,,,,0.95907306,
2018,"3B",5589,4862,43489,3310,9095,542,279,258,813,818,67,65,,,,,,0.95813702,
2019,"3B",5597,4858,43423.1,3392,9149,526,281,240,845,801,108,71,,,,,,0.95974592,
2020,"3B",2049,1796,15468.2,1230,3322,214,107,105,338,314,43,21,,,,,,0.95509862,
2021,"3B",5603,4858,42615,3427,9095,528,272,254,942,850,140,65,,,,,,0.95954023,
2022,"3B",5509,4860,43075.1,3580,9350,481,211,269,922,829,146,80,,,,,,0.96413392,
2023,"3B",5642,4860,43087.1,3253,8937,474,234,238,838,868,10,55,,,,,,0.96257107,
2024,"3B",5656,4858,43116.1,3386,8640,493,249,240,761,782,15,55,,,,,,0.96061986,
