Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"1B",5691,4858,43407.2,41336,3033,267,207,49,3709,351,27,3796,1199,,,,,0.99401828,
2016,"1B",5704,4856,43306.1,40504,2853,269,198,53,3678,378,41,3788,883,,,,,0.99383395,
2017,"1B",5590,4860,43257,39383,2867,266,183,67,3769,342,31,3848,859,,,,,0.99374353,
2018,"1B",5619,4862,43489,38658,2826,271,180,78,3430,301,38,3541,840,,,,,0.99350976,
2019,"1B",5642,4858,43423.1,37740,3031,301,201,79,3434,345,39,3491,852,,,,,0.99267141,
2020,"1B",2060,1796,15468.2,13153,1025,112,81,23,1233,130,8,1265,88,,,,,0.99216235,
2021,"1B",5566,4858,42615,36419,2784,253,189,49,3297,304,27,3364,126,,,,,0.99358779,
2022,"1B",5535,4860,43075.1,37379,2709,235,165,57,3373,299,32,3458,457,,,,,0.99417206,
2023,"1B",5630,4860,43087.1,36318,3032,214,158,50,3448,312,29,3511,534,,,,,0.99459104,
2024,"1B",5530,4858,43116.1,36002,3089,222,144,69,3220,292,24,3265,618,,,,,0.99435301,
